"name_vi","main_image_url","gallery_images"
"Khách sạn Tuylip","/uploads/point-images/1-1763914468904-146623063.webp","[""/uploads/point-images/khu-cong-vien-nu-c-c-1763914468906-802584348.jpg"", ""/uploads/point-images/khach-san-tulip-ninh-binh-5-1763914468907-128196690.jpg"", ""/uploads/point-images/khach-san-tulip-ninh-binh-14-1763914468909-447470858.jpg"", ""/uploads/point-images/11-1763914468911-545548182.jpg"", ""/uploads/point-images/khach-san-tulip-ninh-binh-2-1763914468914-628369611.jpg""]"
"Khách sạn The Vissai","/uploads/point-images/1-1763914759085-128479605.jpg","[""/uploads/point-images/khach-san-the-vissai-ninh-binh-9-1763914759089-407003629.jpg"", ""/uploads/point-images/587943161-1763914759092-687148201.jpg"", ""/uploads/point-images/587943158-1763914759093-587556400.jpg"", ""/uploads/point-images/vietgoing-rfm2112298384-1763914759094-785671346.webp""]"
"Wyndham Grand Vedana Ninh Binh Resort","/uploads/point-images/1-1763914869944-64840711.jpg","[""/uploads/point-images/350435161-1763914869947-649599730.jpg"", ""/uploads/point-images/unnamed-1763914869948-420683606.jpg"", ""/uploads/point-images/be-boi-vedana-ninh-binh-1763914869960-395609815.jpg""]"
"Khách sạn Lakeside II",NULL,NULL
"Tru by Hilton Nam Dinh City Centre",NULL,NULL
"Khách xá Tam Chúc","/uploads/point-images/1-1763915089997-133987447.webp","[""/uploads/point-images/vietgoing-pfc2205067929-1763915090000-230175434.webp"", ""/uploads/point-images/khach-xa-tam-chuc-2-1763915090003-260584157.jpg"", ""/uploads/point-images/dsc03234-hdr-min-1763915090004-426758895.jpg""]"
" Mường Thanh Luxury Hà Nam",NULL,NULL
"Khách sạn Hòa Bình",NULL,NULL
"Vinpearl Melia Phủ Lý",NULL,NULL
"Khách sạn Yến Nhi",NULL,NULL
"Khách sạn Vân Long Green",NULL,NULL
"Aquarius Garden",NULL,NULL
"Cúc Phương Mineral Retreat",NULL,NULL
"Athena Premier Resort",NULL,NULL
"Thung Nham Resort",NULL,NULL
"Memorina Ninh Bình Famstay",NULL,NULL
"Tam Cốc Lamontagne Resort & spa","/uploads/point-images/tong-quan-1-134869-1763915800518-275540207.jpg","[""/uploads/point-images/tong-quan-1-134869-1763915800520-573479022.jpg"", ""/uploads/point-images/tam-coc-la-montagne-resort-ninh-binh-set-up-tiec-1763915800523-399349057.jpg"", ""/uploads/point-images/f3fa3eb52179be78542728c1608a321c-1763915800525-665595337.jpg""]"
"Jiva Hoa Lư Retreat","/uploads/point-images/download-1763915562114-951951406.jpg","[""/uploads/point-images/jiva-hoa-lu-retreat-ninh-binh-phong-nghi-1763915616110-816752679.jpg"", ""/uploads/point-images/9e71c010-1763915616111-930252170.jpg"", ""/uploads/point-images/13c1af80-1763915616113-383191986.webp""]"
"Bái Đính garden Resort & spa","/uploads/point-images/bai-dinh-garden-resort-spa-ninh-binh-1763915157648-286271977.jpg","[""/uploads/point-images/bai-dinh-garden-resort-1763915157649-466132322.jpg"", ""/uploads/point-images/bai-dinh-garden-resort-spa-over-view-1763915157652-309180312.jpg""]"
"Cúc Phương",NULL,NULL
"Vân Long",NULL,NULL
"Hoa Lư",NULL,NULL
"Xuân Thủy",NULL,NULL
"Vườn chim Thung Nham",NULL,NULL
"Tam Cốc","/uploads/point-images/pano0012-1762278799074-290361621.JPG","[""/uploads/point-images/pano0024-1762278799111-919494737.JPG"", ""/uploads/point-images/pano0018-1762278799152-505616203.JPG"", ""/uploads/point-images/pano0019-1762278799202-241919916.JPG""]"
"Đình Các",NULL,NULL
"Đền Thung Nhang.",NULL,NULL
"Đền Vối",NULL,NULL
"Động Tiên Cá",NULL,NULL
"Đường lên Hang Múa","/uploads/point-images/z7161947971391-64028ce6d9160a1fed960c6041e5b62a-1761638840504-346228749.jpg","[""/uploads/point-images/z7161947493349-23569bc3cf962cc76727f063e576a10e-1761638840510-427726358.jpg"", ""/uploads/point-images/z7161946226729-2324bb80e930bc956d8dd8efad9b6d7c-1761638840525-300236639.jpg"", ""/uploads/point-images/z7161945906712-76b940e86791fb02c0f55c265889cb76-1761638840530-833325380.jpg""]"
"Cánh đồng Sen",NULL,NULL
"Đền Trình","/uploads/point-images/pano0009-1762351370618-221467346.JPG","[""/uploads/point-images/pano0022-1762351370687-940629168.JPG"", ""/uploads/point-images/pano0023-1762351370786-111332277.JPG"", ""/uploads/point-images/pano0005-1762351370830-271973927.JPG"", ""/uploads/point-images/pano0025-1762351370882-150832354.JPG""]"
"Hang Vồng",NULL,NULL
"Đền Suối Tiên",NULL,NULL
"Đền Trần",NULL,NULL
"Phủ Khống",NULL,NULL
"Đền thánh Cao Sơn",NULL,NULL
"Hành cung Vũ Lâm","/uploads/point-images/pano0006-1762351487516-262471135.JPG","[""/uploads/point-images/pano0017-1762351487549-847849540.JPG"", ""/uploads/point-images/pano0013-1762351487594-719200865.JPG"", ""/uploads/point-images/pano0008-1762351487626-76597386.JPG"", ""/uploads/point-images/pano0009-1762351487660-130768721.JPG"", ""/uploads/point-images/pano0006-1762351487696-767259116.JPG"", ""/uploads/point-images/pano0001-1762351487719-94441412.JPG"", ""/uploads/point-images/pano0005-1762351487777-102856966.JPG""]"
"Chùa Bái Đính cổ","/uploads/point-images/bai-dinh1-1761584791526-165590071.JPG","[""/uploads/point-images/5-1761584791573-293369934.jpg"", ""/uploads/point-images/bai-dinh2-1761584791604-695623853.JPG"", ""/uploads/point-images/dsc-5387---copy-1761584791635-359978275.jpg""]"
"Đền Vua Đinh","/uploads/point-images/pano0006-1762352332091-749371257.JPG","[""/uploads/point-images/pano0019-1762352332134-909685814.JPG"", ""/uploads/point-images/pano0015-1762352332164-710339413.JPG"", ""/uploads/point-images/pano0013-1762352332215-632238028.JPG"", ""/uploads/point-images/pano0012-1762352332267-921795368.JPG"", ""/uploads/point-images/pano0009-1762352332297-188230571.JPG"", ""/uploads/point-images/pano0006-1762352332326-74349377.JPG""]"
"Đền Vua Lê","/uploads/point-images/pano0021-1761638459153-738657609.JPG","[""/uploads/point-images/pano0023-1762351459946-303012631.JPG"", ""/uploads/point-images/pano0024-1762351459993-513223041.JPG"", ""/uploads/point-images/pano0017-1762351460018-118456699.JPG"", ""/uploads/point-images/pano0009-1762351460063-152422276.JPG"", ""/uploads/point-images/pano0002-1762351460102-867956030.JPG"", ""/uploads/point-images/pano0001-1762351460111-916550645.JPG""]"
"Đền Thái Vi","/uploads/point-images/2-1761545655185-488518082-1761545855761-924786078.jpg","[""/uploads/point-images/-dsc2840-1761545655151-760821805.JPG"", ""/uploads/point-images/2-1761545655185-488518082.jpg"", ""/uploads/point-images/den-thai-vi-1761545655187-395113927.jpg"", ""/uploads/point-images/den-thai-vi1-1761545655224-365814599.JPG"", ""/uploads/point-images/dsc-1610-1761545655238-552697028.jpg""]"
"Nhà hàng Tre Xanh","/uploads/point-images/287035366-782572176447675-6982131780479620170-n-1763909817785-499918857.jpg","[""/uploads/point-images/1-1763910276375-20174897.jpg"", ""/uploads/point-images/2-1763910276375-901325204.jpg"", ""/uploads/point-images/download-1763910276376-139838665.jpg""]"
"Núi Ngu Động","/uploads/point-images/4-1761546189886-324080610.jpg","[""/uploads/point-images/5-1761546189902-111979906.JPG"", ""/uploads/point-images/7-1761546189932-470873858.jpg"", ""/uploads/point-images/baidinh-1761546189946-676062916.jpg"", ""/uploads/point-images/chuabaidinh-1761546189967-426200237.JPG""]"
"Cố đô Hoa Lư","/uploads/point-images/3-1761546678002-657162188.jpg","[""/uploads/point-images/4-1761546678058-846221790.jpg"", ""/uploads/point-images/5-1761546678081-218506846.JPG"", ""/uploads/point-images/7-1761546678126-760893246.jpg"", ""/uploads/point-images/dsc-1220-1761546678134-634758036.JPG""]"
"Đền Đinh Tiên Hoàng","/uploads/point-images/images-1761721791666-966734956.jpg",NULL
"Quần thể Chùa Tam Chúc","/uploads/point-images/207137d2da2ec63dac95c28df48dfa20-1766565527124-435938442.webp",NULL
